MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,OLATITUDE,OLONGITUDE,DESTINATION_AIRPORT,DLATITUDE,DLONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,Departure,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1,1,WN,578,LGA,40.77724,-73.77893,MKE,42.94722,-87.89658,1725,1812,18.2,1905,28,0,0,0,8,20,0
1,1,DL,433,JFK,40.63975,-73.77893,MSP,44.88055,-93.21692,1220,1238,12.63333333,1437,18,0,0,0,18,0,0
1,1,DL,2494,JFK,40.63975,-73.77893,MSP,44.88055,-93.21692,800,835,8.583333333,1023,27,0,0,0,27,0,0
1,1,B6,105,JFK,40.63975,-73.77893,ORD,41.9796,-87.90446,1930,1925,19.41666667,2118,22,0,22,0,0,0,0
1,1,NK,847,LGA,40.63975,-73.77893,ORD,41.9796,-87.90446,830,916,9.266666667,1008,43,0,43,0,0,0,0
1,1,AA,335,LGA,40.63975,-73.77893,ORD,41.9796,-87.90446,1315,1450,14.83333333,1500,89,0,0,0,89,0,0
1,1,B6,761,LGA,40.77724,-73.77893,PBI,26.68316,-80.09559,1945,2017,20.28333333,2245,26,0,0,0,0,26,0
1,1,DL,2303,JFK,40.63975,-73.77893,PDX,45.58872,-122.5975,1910,1906,19.1,2234,26,0,26,0,0,0,0
1,1,DL,2405,JFK,40.63975,-73.77893,PHX,33.43417,-112.00806,2035,2031,20.51666667,23,22,0,22,0,0,0,0
1,1,US,639,JFK,40.63975,-73.77893,PHX,33.43417,-112.00806,1620,1621,16.35,2000,23,0,22,0,1,0,0
1,1,US,654,JFK,40.63975,-73.77893,PHX,33.43417,-112.00806,1330,1354,13.9,1708,26,0,2,0,24,0,0
1,1,US,679,JFK,40.63975,-73.77893,PHX,33.43417,-112.00806,959,1001,10.01666667,1332,30,0,28,0,2,0,0
1,1,B6,135,JFK,40.63975,-73.77893,PHX,33.43417,-112.00806,1922,1946,19.76666667,2306,38,0,14,0,24,0,0
