Day,DESTINATION_AIRPORT,cancellCount,delaySum,SumCount,delayCount,avgDelay,LATITUDE,LONGITUDE,Rain,Fog,Snow
3,MSP,0,55,2,2,27.5,44.88055,-93.21692,1,,1
3,ORD,1,645,13,12,49.61538462,41.9796,-87.90446,1,,1
3,ATL,0,534,13,13,41.07692308,33.64044,-84.42694,1,,1
3,PBI,0,641,9,9,71.22222222,26.68316,-80.09559,1,,1
3,PDX,0,258,3,3,86,45.58872,-122.5975,1,,1
3,PHX,0,262,4,4,65.5,33.43417,-112.00806,1,,1
3,RSW,0,250,3,3,83.33333333,26.53617,-81.75517,1,,1
3,SAN,0,65,2,2,32.5,32.73356,-117.18966,1,,1
3,SAV,0,23,1,1,23,32.12758,-81.20214,1,,1
3,SDF,0,38,1,1,38,38.17439,-85.736,1,,1
3,SEA,0,228,4,4,57,47.44898,-122.30931,1,,1
3,SFO,0,297,10,10,29.7,37.619,-122.37484,1,,1
3,SLC,0,178,2,2,89,40.78839,-111.97777,1,,1
3,BHM,0,83,1,1,83,33.56294,-86.75355,1,,1
3,SYR,0,122,1,1,122,43.11119,-76.10631,1,,1
3,TPA,0,315,6,6,52.5,27.97547,-82.53325,1,,1
3,BUR,0,117,1,1,117,34.20062,-118.3585,1,,1
3,CAK,0,39,1,1,39,40.91631,-81.44247,1,,1
3,CLE,0,114,2,2,57,41.41089,-81.8494,1,,1
3,CLT,0,518,10,10,51.8,35.21401,-80.94313,1,,1
3,CMH,0,192,4,4,48,39.99799,-82.89188,1,,1
3,DAL,0,31,1,1,31,32.84711,-96.85177,1,,1
3,DCA,0,237,5,5,47.4,38.85208,-77.03772,1,,1
3,BTV,0,167,2,2,83.5,44.473,-73.15031,1,,1
3,GSO,0,203,2,2,101.5,36.09775,-79.9373,1,,1
3,BWI,0,55,1,1,55,39.1754,-76.6682,1,,1
3,HNL,0,34,1,1,34,21.31869,-157.92241,1,,1
3,LIT,0,32,1,1,32,34.7294,-92.22425,1,,1
3,MSY,0,179,2,2,89.5,29.99339,-90.25803,1,,1
3,OAK,0,21,1,1,21,37.72129,-122.22072,1,,1
3,ORF,0,48,1,1,48,36.89461,-76.20122,1,,1
3,RDU,2,137,5,3,27.4,35.87764,-78.78747,1,,1
3,DAY,0,35,1,1,35,39.90238,-84.21938,1,,1
3,EGE,0,49,1,1,49,39.64257,-106.9177,1,,1
3,EYW,0,33,1,1,33,24.55611,-81.75956,1,,1
3,GSP,0,32,1,1,32,34.89567,-82.21886,1,,1
3,HOU,0,247,4,4,61.75,29.64542,-95.27889,1,,1
3,JAX,0,40,2,2,20,30.49406,-81.68786,1,,1
3,LGB,0,21,1,1,21,33.81772,-118.15161,1,,1
3,ROC,0,133,2,2,66.5,43.11887,-77.67238,1,,1
3,SJC,0,42,1,1,42,37.36186,-121.92901,1,,1
3,SMF,0,27,1,1,27,38.69542,-121.59077,1,,1
3,STL,0,145,3,3,48.33333333,38.74769,-90.35999,1,,1
4,AUS,0,376,4,4,94,30.19453,-97.66987,1,,
4,BNA,1,432,7,6,61.71428571,36.12448,-86.67818,1,,
4,BOS,0,822,12,12,68.5,42.36435,-71.00518,1,,
4,ABQ,0,45,1,1,45,35.04022,-106.60919,1,,
4,BUF,0,659,4,4,164.75,42.94052,-78.73217,1,,
4,CHS,0,94,1,1,94,32.89865,-80.04051,1,,
4,CVG,0,203,1,1,203,39.04614,-84.66217,1,,
4,DEN,0,483,4,4,120.75,39.85841,-104.667,1,,
4,DFW,0,737,12,12,61.41666667,32.89595,-97.0372,1,,
4,DTW,0,362,6,6,60.33333333,42.21206,-83.34884,1,,
4,FLL,0,1794,26,26,69,26.07258,-80.15275,1,,
4,IAD,0,614,6,6,102.3333333,38.94453,-77.45581,1,,
4,LAS,0,1122,6,6,187,36.08036,-115.15233,1,,
4,LAX,0,1242,17,17,73.05882353,33.94254,-118.40807,1,,
4,MCO,0,1234,18,18,68.55555556,28.42889,-81.31603,1,,
4,MDW,0,326,4,4,81.5,41.78598,-87.75242,1,,
4,MIA,0,1658,25,25,66.32,25.79325,-80.29056,1,,
4,MKE,0,88,3,3,29.33333333,42.94722,-87.89658,1,,
4,MSP,0,53,1,1,53,44.88055,-93.21692,1,,
4,ORD,1,1042,17,16,61.29411765,41.9796,-87.90446,1,,
4,ATL,0,773,11,11,70.27272727,33.64044,-84.42694,1,,
4,PBI,0,819,12,12,68.25,26.68316,-80.09559,1,,
4,PDX,0,209,2,2,104.5,45.58872,-122.5975,1,,
4,PHX,0,632,7,7,90.28571429,33.43417,-112.00806,1,,
4,RSW,0,710,9,9,78.88888889,26.53617,-81.75517,1,,
4,SAN,0,142,1,1,142,32.73356,-117.18966,1,,
4,SAV,0,64,1,1,64,32.12758,-81.20214,1,,
4,SDF,0,77,2,2,38.5,38.17439,-85.736,1,,
4,SEA,0,267,3,3,89,47.44898,-122.30931,1,,
4,SFO,0,459,8,8,57.375,37.619,-122.37484,1,,
4,SLC,0,59,2,2,29.5,40.78839,-111.97777,1,,
4,SRQ,0,45,2,2,22.5,27.39533,-82.55411,1,,
4,BHM,0,67,1,1,67,33.56294,-86.75355,1,,
4,SYR,0,111,2,2,55.5,43.11119,-76.10631,1,,
4,TPA,0,1040,11,11,94.54545455,27.97547,-82.53325,1,,
4,CAK,0,181,2,2,90.5,40.91631,-81.44247,1,,
4,CLE,0,262,3,3,87.33333333,41.41089,-81.8494,1,,
4,CLT,0,599,10,10,59.9,35.21401,-80.94313,1,,
4,CMH,0,444,6,6,74,39.99799,-82.89188,1,,
4,DAL,0,143,5,5,28.6,32.84711,-96.85177,1,,
4,DCA,2,650,13,11,50,38.85208,-77.03772,1,,
4,BTV,0,161,1,1,161,44.473,-73.15031,1,,
4,GSO,1,156,3,2,52,36.09775,-79.9373,1,,
4,BWI,1,,1,0,0,39.1754,-76.6682,1,,
4,CAE,2,,2,0,0,33.93884,-81.11954,1,,
4,IND,0,137,1,1,137,39.71733,-86.29438,1,,
4,LEX,0,36,1,1,36,38.03697,-84.60539,1,,
4,LIT,0,132,1,1,132,34.7294,-92.22425,1,,
4,MSY,0,218,5,5,43.6,29.99339,-90.25803,1,,
4,OAK,0,45,1,1,45,37.72129,-122.22072,1,,
4,ORF,0,222,2,2,111,36.89461,-76.20122,1,,
4,RDU,3,741,10,7,74.1,35.87764,-78.78747,1,,
4,DAY,1,26,2,1,13,39.90238,-84.21938,1,,
4,EGE,0,847,1,1,847,39.64257,-106.9177,1,,
4,GSP,0,56,1,1,56,34.89567,-82.21886,1,,
4,HOU,0,104,2,2,52,29.64542,-95.27889,1,,
4,JAX,0,278,2,2,139,30.49406,-81.68786,1,,
4,LGB,0,168,2,2,84,33.81772,-118.15161,1,,
4,ROC,0,132,1,1,132,43.11887,-77.67238,1,,
4,SMF,0,166,1,1,166,38.69542,-121.59077,1,,
4,STL,1,338,5,4,67.6,38.74769,-90.35999,1,,
4,SAT,0,125,1,1,125,29.53369,-98.46978,1,,
4,MCI,0,70,1,1,70,39.29761,-94.71391,1,,
4,MHT,1,,1,0,0,42.93452,-71.43706,1,,
4,MYR,0,121,1,1,121,33.67975,-78.92833,1,,
4,OMA,0,44,1,1,44,41.30252,-95.89417,1,,
4,PHL,0,51,1,1,51,39.87195,-75.24114,1,,
4,PWM,0,97,1,1,97,43.64617,-70.30875,1,,
4,RIC,0,54,2,2,27,37.50517,-77.31967,1,,
4,TYS,0,24,1,1,24,35.81249,-83.99286,1,,
